Per-epoch status lines (alpha/tau/alive_hard/guards/time):
Epoch 154: Current Alpha: 1.1910, Tau: 2.5172, Alive(hard): 0.270, guards=0, time=0.85s
Epoch 155: Current Alpha: 1.1873, Tau: 2.5114, Alive(hard): 0.271, guards=0, time=0.86s
Epoch 156: Current Alpha: 1.1835, Tau: 2.5055, Alive(hard): 0.272, guards=0, time=0.87s
Epoch 157: Current Alpha: 1.1798, Tau: 2.4996, Alive(hard): 0.271, guards=0, time=0.87s
Epoch 158: Current Alpha: 1.1760, Tau: 2.4937, Alive(hard): 0.272, guards=0, time=0.85s
Epoch 159: Current Alpha: 1.1722, Tau: 2.4878, Alive(hard): 0.271, guards=0, time=0.85s
Epoch 160: Current Alpha: 1.1684, Tau: 2.4819, Alive(hard): 0.271, guards=0, time=0.84s
Epoch 161: Current Alpha: 1.1646, Tau: 2.4759, Alive(hard): 0.271, guards=0, time=0.85s
Epoch 162: Current Alpha: 1.1607, Tau: 2.4699, Alive(hard): 0.271, guards=0, time=0.82s
Epoch 163: Current Alpha: 1.1569, Tau: 2.4639, Alive(hard): 0.268, guards=0, time=0.85s
Epoch 164: Current Alpha: 1.1530, Tau: 2.4578, Alive(hard): 0.268, guards=0, time=0.84s
Epoch 165: Current Alpha: 1.1491, Tau: 2.4518, Alive(hard): 0.269, guards=0, time=0.86s
Epoch 166: Current Alpha: 1.1452, Tau: 2.4457, Alive(hard): 0.268, guards=0, time=0.88s
Epoch 167: Current Alpha: 1.1413, Tau: 2.4395, Alive(hard): 0.267, guards=0, time=0.85s
Epoch 168: Current Alpha: 1.1374, Tau: 2.4334, Alive(hard): 0.268, guards=0, time=0.86s
Epoch 169: Current Alpha: 1.1334, Tau: 2.4272, Alive(hard): 0.267, guards=0, time=0.87s
Epoch 170: Current Alpha: 1.1295, Tau: 2.4211, Alive(hard): 0.269, guards=0, time=0.85s
Epoch 171: Current Alpha: 1.1255, Tau: 2.4149, Alive(hard): 0.269, guards=0, time=0.81s
Epoch 172: Current Alpha: 1.1215, Tau: 2.4086, Alive(hard): 0.269, guards=0, time=0.83s
Epoch 173: Current Alpha: 1.1175, Tau: 2.4024, Alive(hard): 0.269, guards=0, time=0.79s
Epoch 174: Current Alpha: 1.1135, Tau: 2.3961, Alive(hard): 0.268, guards=0, time=0.84s
Epoch 175: Current Alpha: 1.1095, Tau: 2.3898, Alive(hard): 0.268, guards=0, time=0.85s
Epoch 176: Current Alpha: 1.1055, Tau: 2.3835, Alive(hard): 0.268, guards=0, time=0.85s
Epoch 177: Current Alpha: 1.1014, Tau: 2.3772, Alive(hard): 0.268, guards=0, time=0.86s
Epoch 178: Current Alpha: 1.0973, Tau: 2.3709, Alive(hard): 0.267, guards=0, time=0.85s
Epoch 179: Current Alpha: 1.0933, Tau: 2.3645, Alive(hard): 0.266, guards=0, time=0.85s
Epoch 180: Current Alpha: 1.0892, Tau: 2.3581, Alive(hard): 0.266, guards=0, time=0.85s
Epoch 181: Current Alpha: 1.0851, Tau: 2.3517, Alive(hard): 0.265, guards=0, time=0.87s
Epoch 182: Current Alpha: 1.0810, Tau: 2.3453, Alive(hard): 0.267, guards=0, time=0.87s
Epoch 183: Current Alpha: 1.0768, Tau: 2.3388, Alive(hard): 0.268, guards=0, time=0.86s
Epoch 184: Current Alpha: 1.0727, Tau: 2.3324, Alive(hard): 0.268, guards=0, time=0.86s
Epoch 185: Current Alpha: 1.0686, Tau: 2.3259, Alive(hard): 0.268, guards=0, time=0.85s
Epoch 186: Current Alpha: 1.0644, Tau: 2.3194, Alive(hard): 0.268, guards=0, time=0.85s
Epoch 187: Current Alpha: 1.0602, Tau: 2.3129, Alive(hard): 0.268, guards=0, time=0.85s
Epoch 188: Current Alpha: 1.0561, Tau: 2.3063, Alive(hard): 0.267, guards=0, time=0.87s
Epoch 189: Current Alpha: 1.0519, Tau: 2.2998, Alive(hard): 0.268, guards=0, time=0.86s
Epoch 190: Current Alpha: 1.0477, Tau: 2.2932, Alive(hard): 0.268, guards=0, time=0.85s
Epoch 191: Current Alpha: 1.0434, Tau: 2.2866, Alive(hard): 0.248, guards=0, time=1.15s
Epoch 192: Current Alpha: 1.0392, Tau: 2.2800, Alive(hard): 0.254, guards=0, time=1.10s
Epoch 193: Current Alpha: 1.0350, Tau: 2.2734, Alive(hard): 0.253, guards=0, time=1.16s
